timestamp,interval_count,total_count,cpu_percent
2025-07-23T09:35:24.948856,2,2,0.0
2025-07-23T09:35:25.449112,7,9,10.0
2025-07-23T09:35:25.949341,8,17,9.5
2025-07-23T09:35:26.449591,8,25,10.0
2025-07-23T09:35:26.949940,6,31,9.3
2025-07-23T09:35:27.450208,7,38,9.3
2025-07-23T09:35:27.950498,9,47,9.5
2025-07-23T09:35:28.450791,6,53,9.0
2025-07-23T09:35:28.951025,8,61,9.6
2025-07-23T09:35:29.451259,7,68,9.9
2025-07-23T09:35:29.951483,8,76,10.3
2025-07-23T09:35:30.452272,6,82,12.8
2025-07-23T09:35:30.952497,7,89,10.2
2025-07-23T09:35:31.452686,6,95,10.2
2025-07-23T09:35:31.954822,8,103,15.2
2025-07-23T09:35:32.455091,6,109,11.8
2025-07-23T09:35:32.955339,7,116,11.3
2025-07-23T09:35:33.455555,6,122,12.1
2025-07-23T09:35:33.955754,7,129,12.4
2025-07-23T09:35:34.455987,7,136,11.6
2025-07-23T09:35:34.956204,5,141,9.6
2025-07-23T09:35:35.456410,8,149,10.2
2025-07-23T09:35:35.956606,7,156,9.9
2025-07-23T09:35:36.456837,7,163,9.4
2025-07-23T09:35:36.957071,7,170,9.3
2025-07-23T09:35:37.457251,6,176,9.6
2025-07-23T09:35:37.957445,6,182,10.7
2025-07-23T09:35:38.457646,8,190,10.3
2025-07-23T09:35:38.957863,6,196,13.0
2025-07-23T09:35:39.458112,2,198,7.9
