timestamp,interval_count,total_count,cpu_percent
2025-07-23T09:44:55.877325,5,5,0.0
2025-07-23T09:44:56.377590,18,23,32.9
2025-07-23T09:44:56.877871,20,43,32.5
2025-07-23T09:44:57.379342,16,59,33.0
2025-07-23T09:44:57.880896,23,82,32.2
2025-07-23T09:44:58.381266,25,107,32.3
2025-07-23T09:44:58.881563,23,130,32.2
2025-07-23T09:44:59.381857,26,156,32.7
2025-07-23T09:44:59.882143,25,181,32.3
2025-07-23T09:45:00.382516,23,204,32.3
2025-07-23T09:45:00.882797,24,228,32.0
2025-07-23T09:45:01.383147,25,253,32.5
2025-07-23T09:45:01.883460,17,270,32.1
2025-07-23T09:45:02.383751,18,288,32.9
2025-07-23T09:45:02.884121,23,311,32.1
2025-07-23T09:45:03.384442,22,333,37.8
2025-07-23T09:45:03.884750,25,358,31.9
2025-07-23T09:45:04.385059,25,383,32.2
2025-07-23T09:45:04.885341,23,406,32.4
2025-07-23T09:45:05.386383,25,431,33.9
2025-07-23T09:45:05.886702,23,454,34.0
2025-07-23T09:45:06.387010,20,474,33.3
2025-07-23T09:45:06.887402,11,485,30.3
2025-07-23T09:45:07.387718,19,504,33.6
2025-07-23T09:45:07.888037,26,530,33.0
2025-07-23T09:45:08.388291,23,553,32.6
2025-07-23T09:45:08.891015,25,578,32.9
2025-07-23T09:45:09.391344,23,601,32.9
2025-07-23T09:45:09.891709,22,623,32.9
2025-07-23T09:45:10.392021,25,648,35.8
2025-07-23T09:45:10.895395,25,673,33.5
2025-07-23T09:45:11.395758,24,697,33.6
2025-07-23T09:45:11.896107,22,719,34.5
2025-07-23T09:45:12.396533,16,735,36.0
2025-07-23T09:45:12.896914,19,754,30.3
2025-07-23T09:45:13.397231,13,767,21.4
2025-07-23T09:45:13.897630,8,775,18.8
2025-07-23T09:45:14.397935,7,782,12.9
2025-07-23T09:45:14.898225,3,785,13.6
