timestamp,interval_count,total_count,cpu_percent
2025-07-23T09:38:11.820931,11,11,0.0
2025-07-23T09:38:12.321239,16,27,21.8
2025-07-23T09:38:12.821609,18,45,21.5
2025-07-23T09:38:13.322844,18,63,21.7
2025-07-23T09:38:13.823198,18,81,21.6
2025-07-23T09:38:14.323556,18,99,21.9
2025-07-23T09:38:14.824900,16,115,21.9
2025-07-23T09:38:15.325444,13,128,23.1
2025-07-23T09:38:15.825642,17,145,21.8
2025-07-23T09:38:16.325845,17,162,26.5
2025-07-23T09:38:16.826059,16,178,21.5
2025-07-23T09:38:17.327531,16,194,21.3
2025-07-23T09:38:17.827905,18,212,21.9
2025-07-23T09:38:18.328191,17,229,22.0
2025-07-23T09:38:18.828442,18,247,22.2
2025-07-23T09:38:19.328688,13,260,20.3
2025-07-23T09:38:19.829612,18,278,21.5
2025-07-23T09:38:20.329897,14,292,21.5
2025-07-23T09:38:20.830912,13,305,23.1
2025-07-23T09:38:21.331294,15,320,23.1
2025-07-23T09:38:21.831616,15,335,22.0
2025-07-23T09:38:22.332211,16,351,21.9
2025-07-23T09:38:22.863218,16,367,22.3
2025-07-23T09:38:23.363445,20,387,22.0
2025-07-23T09:38:23.863696,19,406,26.4
2025-07-23T09:38:24.365526,17,423,21.7
2025-07-23T09:38:24.865762,16,439,21.5
2025-07-23T09:38:25.365967,17,456,22.2
2025-07-23T09:38:25.866195,15,471,21.9
2025-07-23T09:38:26.366454,12,483,16.4
2025-07-23T09:38:26.866759,5,488,12.0
