timestamp,interval_count,total_count,cpu_percent
2025-07-23T09:55:19.181758,4,4,0.0
2025-07-23T09:55:19.682195,10,14,73.8
2025-07-23T09:55:20.185593,11,25,74.3
2025-07-23T09:55:20.689142,14,39,81.2
2025-07-23T09:55:21.189395,19,58,80.5
2025-07-23T09:55:21.689692,25,83,68.3
2025-07-23T09:55:22.191141,28,111,71.3
2025-07-23T09:55:22.784270,24,135,69.1
2025-07-23T09:55:23.284844,59,194,71.1
2025-07-23T09:55:23.785198,37,231,69.7
2025-07-23T09:55:24.288982,30,261,71.9
2025-07-23T09:55:24.789425,26,287,70.9
2025-07-23T09:55:25.289752,34,321,70.9
2025-07-23T09:55:26.096838,38,359,70.6
2025-07-23T09:55:26.597757,62,421,71.4
2025-07-23T09:55:27.098137,37,458,70.5
2025-07-23T09:55:27.598481,39,497,70.4
2025-07-23T09:55:28.098816,37,534,69.8
2025-07-23T09:55:28.599225,36,570,69.8
2025-07-23T09:55:29.099579,37,607,70.3
2025-07-23T09:55:29.679166,25,632,70.0
2025-07-23T09:55:30.179524,43,675,69.8
2025-07-23T09:55:30.679848,37,712,69.8
2025-07-23T09:55:31.180212,38,750,69.9
2025-07-23T09:55:31.680535,37,787,74.6
2025-07-23T09:55:32.182630,38,825,69.7
2025-07-23T09:55:32.682894,38,863,69.9
2025-07-23T09:55:33.184920,41,904,69.7
2025-07-23T09:55:33.685186,38,942,72.9
2025-07-23T09:55:34.249656,22,964,69.3
2025-07-23T09:55:34.750112,43,1007,71.3
2025-07-23T09:55:35.255972,30,1037,70.2
2025-07-23T09:55:35.756284,39,1076,70.5
2025-07-23T09:55:36.256594,39,1115,71.0
2025-07-23T09:55:36.756911,18,1133,69.4
2025-07-23T09:55:37.257247,34,1167,69.9
2025-07-23T09:55:37.758826,37,1204,70.1
2025-07-23T09:55:38.259155,38,1242,69.8
2025-07-23T09:55:38.760684,39,1281,72.7
2025-07-23T09:55:39.261100,30,1311,70.5
2025-07-23T09:55:39.763598,29,1340,70.2
2025-07-23T09:55:40.264013,34,1374,70.5
2025-07-23T09:55:40.764525,41,1415,73.0
2025-07-23T09:55:41.264891,38,1453,71.0
2025-07-23T09:55:41.765238,39,1492,71.7
2025-07-23T09:55:42.268694,35,1527,70.9
2025-07-23T09:55:42.769080,41,1568,70.5
2025-07-23T09:55:43.269393,39,1607,72.1
2025-07-23T09:55:43.957449,28,1635,69.2
2025-07-23T09:55:44.457880,48,1683,71.3
2025-07-23T09:55:44.958275,26,1709,69.0
2025-07-23T09:55:45.458605,37,1746,67.0
2025-07-23T09:55:45.958904,31,1777,60.6
2025-07-23T09:55:46.459221,32,1809,52.7
2025-07-23T09:55:46.959526,23,1832,45.8
2025-07-23T09:55:47.459885,20,1852,36.6
2025-07-23T09:55:47.960243,3,1855,19.0
2025-07-23T09:55:48.460524,3,1858,7.6
2025-07-23T09:55:48.960756,3,1861,8.3
2025-07-23T09:55:49.461031,1,1862,9.6
